No,Split,Arsitektur,Activation,Learning Rate,Epoch,Loss (MSE),Acc Train,Train Precision 0,Train Precision 1,Train Precision 2,Train Recall 0,Train Recall 1,Train Recall 2,Train F1 0,Train F1 1,Train F1 2,Support 0,Support 1,Support 2
83,70:30,"(128, 64, 32, 16)",logistic,0.009,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
84,70:30,"(128, 64, 32, 16)",logistic,0.007,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
85,70:30,"(128, 64, 32, 16)",logistic,0.2,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
86,70:30,"(128, 64, 32, 16)",logistic,0.6,39,0.00867,0.9913,0.9917,0.9945,0.9831,0.9973,0.9807,0.9962,0.9945,0.9875,0.9896,5250,3675,1575
87,70:30,"(128, 64, 32, 16)",logistic,0.012,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
88,70:30,"(128, 64, 32, 16)",logistic,0.01,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
89,70:30,"(128, 64, 32, 16)",logistic,0.015,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
90,70:30,"(128, 64, 32, 16)",logistic,0.018,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
91,70:30,"(128, 64, 32, 16)",logistic,0.0111,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
92,70:30,"(128, 64, 32, 16)",relu,0.04,22,0.00648,0.9935,0.9975,0.9929,0.9819,0.9958,0.9886,0.9975,0.9967,0.9907,0.9896,5250,3675,1575
93,70:30,"(128, 64, 32, 16)",relu,0.08,38,0.00429,0.9957,0.9971,0.9919,1.0,0.9977,0.9959,0.9886,0.9974,0.9939,0.9943,5250,3675,1575
94,70:30,"(128, 64, 32, 16)",relu,0.06,22,0.01143,0.9886,0.9935,0.9925,0.9638,0.9952,0.9747,0.9987,0.9944,0.9835,0.981,5250,3675,1575
95,70:30,"(128, 64, 32, 16)",relu,0.005,47,0.00914,0.9909,0.9977,0.9877,0.9755,0.9962,0.9861,0.9841,0.997,0.9869,0.9798,5250,3675,1575
96,70:30,"(128, 64, 32, 16)",relu,0.009,49,0.0041,0.9959,0.9996,0.9924,0.9918,0.9964,0.9959,0.9943,0.998,0.9942,0.993,5250,3675,1575
97,70:30,"(128, 64, 32, 16)",relu,0.007,56,0.00448,0.9955,0.9994,0.9959,0.9819,0.9977,0.9913,0.9981,0.9986,0.9936,0.9899,5250,3675,1575
98,70:30,"(128, 64, 32, 16)",relu,0.2,38,0.00181,0.9982,0.9994,0.9976,0.9956,0.999,0.9973,0.9975,0.9992,0.9974,0.9965,5250,3675,1575
