No,Split,Arsitektur,Activation,Learning Rate,Epoch,Loss (MSE),Acc Train,Train Precision 0,Train Precision 1,Train Precision 2,Train Recall 0,Train Recall 1,Train Recall 2,Train F1 0,Train F1 1,Train F1 2,Support 0,Support 1,Support 2
130,60:40,"(256, 128, 64, 32, 16)",logistic,0.0111,36,0.00544,0.9946,0.9916,0.9971,0.9985,0.9987,0.9873,0.9978,0.9951,0.9922,0.9981,4500,3150,1350
131,60:40,"(256, 128, 64, 32, 16)",relu,0.04,20,0.01422,0.9858,0.9859,0.9849,0.9875,0.9909,0.9743,0.9956,0.9884,0.9796,0.9915,4500,3150,1350
132,60:40,"(256, 128, 64, 32, 16)",relu,0.08,20,0.00978,0.9902,0.9989,0.986,0.9717,0.9922,0.986,0.9933,0.9955,0.986,0.9824,4500,3150,1350
133,60:40,"(256, 128, 64, 32, 16)",relu,0.06,27,0.00878,0.9912,0.9945,0.9898,0.9837,0.9973,0.9851,0.9852,0.9959,0.9874,0.9845,4500,3150,1350
134,60:40,"(256, 128, 64, 32, 16)",relu,0.005,18,0.00978,0.9902,0.9955,0.9821,0.9918,0.9902,0.9902,0.9904,0.9929,0.9861,0.9911,4500,3150,1350
135,60:40,"(256, 128, 64, 32, 16)",relu,0.009,29,0.00689,0.9931,0.9967,0.9865,0.997,0.9962,0.994,0.9807,0.9964,0.9902,0.9888,4500,3150,1350
136,60:40,"(256, 128, 64, 32, 16)",relu,0.007,17,0.01167,0.9883,0.9942,0.9872,0.9716,0.9942,0.9794,0.9896,0.9942,0.9833,0.9806,4500,3150,1350
137,60:40,"(256, 128, 64, 32, 16)",relu,0.2,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,4500,3150,1350
138,60:40,"(256, 128, 64, 32, 16)",relu,0.6,13,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,4500,3150,1350
139,60:40,"(256, 128, 64, 32, 16)",relu,0.012,15,0.01433,0.9857,0.9909,0.976,0.9909,0.9931,0.9832,0.9667,0.992,0.9796,0.9786,4500,3150,1350
140,60:40,"(256, 128, 64, 32, 16)",relu,0.01,20,0.00933,0.9907,0.9901,0.9952,0.9825,0.9971,0.9781,0.9985,0.9936,0.9866,0.9904,4500,3150,1350
141,60:40,"(256, 128, 64, 32, 16)",relu,0.015,15,0.01667,0.9833,0.9887,0.975,0.9849,0.9929,0.9775,0.9652,0.9908,0.9762,0.9749,4500,3150,1350
142,60:40,"(256, 128, 64, 32, 16)",relu,0.018,41,0.00367,0.9963,0.9973,0.9959,0.9941,0.998,0.9937,0.997,0.9977,0.9948,0.9956,4500,3150,1350
143,60:40,"(256, 128, 64, 32, 16)",relu,0.0111,15,0.01344,0.9866,0.9927,0.9794,0.9828,0.9931,0.9822,0.9748,0.9929,0.9808,0.9788,4500,3150,1350
144,60:40,"(256, 128, 64, 32, 16)",tanh,0.04,14,0.04067,0.9593,0.9646,0.9731,0.915,0.986,0.9089,0.9881,0.9752,0.9399,0.9501,4500,3150,1350
145,60:40,"(256, 128, 64, 32, 16)",tanh,0.08,15,0.05978,0.9402,0.9771,0.9178,0.8733,0.9687,0.9108,0.9141,0.9729,0.9143,0.8932,4500,3150,1350
146,60:40,"(256, 128, 64, 32, 16)",tanh,0.06,17,0.05044,0.9496,0.9815,0.9223,0.9092,0.9691,0.9346,0.9193,0.9753,0.9284,0.9142,4500,3150,1350
147,60:40,"(256, 128, 64, 32, 16)",tanh,0.005,15,0.01733,0.9827,0.9904,0.9684,0.991,0.9836,0.9825,0.98,0.987,0.9754,0.9855,4500,3150,1350
148,60:40,"(256, 128, 64, 32, 16)",tanh,0.009,18,0.015,0.985,0.9855,0.9864,0.9802,0.9942,0.9705,0.9881,0.9898,0.9784,0.9841,4500,3150,1350
